line	tmin	tier	text	tmax
1	0	TokensAlign	#	0.375600
2	0.375600	TokensAlign	i	0.550600
3	0.550600	TokensAlign	thus	0.980600
4	0.980600	TokensAlign	learned	1.400600
5	1.400600	TokensAlign	a	1.440600
6	1.440600	TokensAlign	second	2.100600
7	2.100600	TokensAlign	very	2.490600
8	2.490600	TokensAlign	important	2.980600
9	2.980600	TokensAlign	thing	3.275000
10	3.275000	TokensAlign	#	3.818700
11	3.818700	TokensAlign	that	4.023700
12	4.023700	TokensAlign	his	4.323700
13	4.323700	TokensAlign	home	4.563700
14	4.563700	TokensAlign	planet	5.163700
15	5.163700	TokensAlign	was	5.373700
16	5.373700	TokensAlign	barely	5.873700
17	5.873700	TokensAlign	bigger	6.263700
18	6.263700	TokensAlign	than	6.393700
19	6.393700	TokensAlign	a	6.443700
20	6.443700	TokensAlign	house	6.972800
21	6.972800	TokensAlign	#	7.671100
22	7.671100	TokensAlign	it	7.996100
23	7.996100	TokensAlign	didn	8.226100
24	8.226100	TokensAlign	t	8.296100
25	8.296100	TokensAlign	surprise	8.756100
26	8.756100	TokensAlign	me	8.876100
27	8.876100	TokensAlign	much	9.300300
28	9.300300	TokensAlign	#	9.614500
29	9.614500	TokensAlign	i	9.749500
30	9.749500	TokensAlign	knew	9.999500
31	9.999500	TokensAlign	that	10.299500
32	10.299500	TokensAlign	apart	10.709500
33	10.709500	TokensAlign	from	10.879500
34	10.879500	TokensAlign	the	10.979500
35	10.979500	TokensAlign	large	11.399500
36	11.399500	TokensAlign	planets	11.849500
37	11.849500	TokensAlign	like	12.089500
38	12.089500	TokensAlign	the	12.209500
39	12.209500	TokensAlign	earth	12.679500
40	12.679500	TokensAlign	jupiter	13.139500
41	13.139500	TokensAlign	mars	13.589500
42	13.589500	TokensAlign	and	13.769500
43	13.769500	TokensAlign	venus	14.417200
44	14.417200	TokensAlign	#	14.641600
45	14.641600	TokensAlign	which	14.836600
46	14.836600	TokensAlign	have	14.946600
47	14.946600	TokensAlign	been	15.146600
48	15.146600	TokensAlign	given	15.416600
49	15.416600	TokensAlign	names	15.951400
50	15.951400	TokensAlign	#	16.395300
51	16.395300	TokensAlign	there	16.600300
52	16.600300	TokensAlign	are	16.700300
53	16.700300	TokensAlign	hundreds	17.160300
54	17.160300	TokensAlign	of	17.280300
55	17.280300	TokensAlign	others	17.750300
56	17.750300	TokensAlign	that	17.900300
57	17.900300	TokensAlign	are	17.940300
58	17.940300	TokensAlign	sometimes	18.600300
59	18.600300	TokensAlign	so	18.850300
60	18.850300	TokensAlign	small	19.490300
61	19.490300	TokensAlign	that	19.820300
62	19.820300	TokensAlign	one	20.160300
63	20.160300	TokensAlign	has	20.420300
64	20.420300	TokensAlign	great	20.780300
65	20.780300	TokensAlign	difficulty	21.350300
66	21.350300	TokensAlign	in	21.450300
67	21.450300	TokensAlign	spotting	21.890300
68	21.890300	TokensAlign	them	22.100300
69	22.100300	TokensAlign	through	22.250300
70	22.250300	TokensAlign	the	22.330300
71	22.330300	TokensAlign	telescope	22.903100
72	22.903100	TokensAlign	#	23.825900
73	23.825900	TokensAlign	when	24.000900
74	24.000900	TokensAlign	an	24.110900
75	24.110900	TokensAlign	astronomer	24.650900
76	24.650900	TokensAlign	discovers	25.190900
77	25.190900	TokensAlign	one	25.330900
78	25.330900	TokensAlign	of	25.490900
79	25.490900	TokensAlign	these	25.905800
80	25.905800	TokensAlign	#	26.224900
81	26.224900	TokensAlign	he	26.299900
82	26.299900	TokensAlign	gives	26.589900
83	26.589900	TokensAlign	it	26.719900
84	26.719900	TokensAlign	a	26.749900
85	26.749900	TokensAlign	number	27.209900
86	27.209900	TokensAlign	for	27.269900
87	27.269900	TokensAlign	for	27.469900
88	27.469900	TokensAlign	a	27.539900
89	27.539900	TokensAlign	name	27.919600
90	27.919600	TokensAlign	#	28.538100
91	28.538100	TokensAlign	he	28.653100
92	28.653100	TokensAlign	might	28.903100
93	28.903100	TokensAlign	call	29.103100
94	29.103100	TokensAlign	it	29.273100
95	29.273100	TokensAlign	for	29.413100
96	29.413100	TokensAlign	example	29.992800
97	29.992800	TokensAlign	#	30.411700
98	30.411700	TokensAlign	asteroid	31.066700
99	31.066700	TokensAlign	three_hundred_twenty-five	32.096600
100	32.096600	TokensAlign	#	33.268800
101	33.268800	TokensAlign	i	33.363800
102	33.363800	TokensAlign	have	33.533800
103	33.533800	TokensAlign	serious	34.123800
104	34.123800	TokensAlign	reason	34.463800
105	34.463800	TokensAlign	to	34.583800
106	34.583800	TokensAlign	believe	35.023800
107	35.023800	TokensAlign	that	35.163800
108	35.163800	TokensAlign	the	35.243800
109	35.243800	TokensAlign	planet	35.703800
110	35.703800	TokensAlign	from	35.903800
111	35.903800	TokensAlign	where	36.033800
112	36.033800	TokensAlign	the	36.143800
113	36.143800	TokensAlign	little	36.373800
114	36.373800	TokensAlign	prince	36.773800
115	36.773800	TokensAlign	came	37.232200
116	37.232200	TokensAlign	#	37.611200
117	37.611200	TokensAlign	is	37.746200
118	37.746200	TokensAlign	the	37.926200
119	37.926200	TokensAlign	asteroid	38.786200
120	38.786200	TokensAlign	b	39.126200
121	39.126200	TokensAlign	six_hundred_twelve	40.380200
122	40.380200	TokensAlign	#	40.953900
123	40.953900	TokensAlign	this	41.468900
124	41.468900	TokensAlign	asteroid	42.048900
125	42.048900	TokensAlign	has	42.238900
126	42.238900	TokensAlign	only	42.498900
127	42.498900	TokensAlign	been	42.688900
128	42.688900	TokensAlign	seen	42.968900
129	42.968900	TokensAlign	through	43.138900
130	43.138900	TokensAlign	a	43.178900
131	43.178900	TokensAlign	telescope	43.878900
132	43.878900	TokensAlign	once	44.358900
133	44.358900	TokensAlign	in	44.528900
134	44.528900	TokensAlign	one_thousand_nine_hundred_nine	45.608900
135	45.608900	TokensAlign	by	45.848900
136	45.848900	TokensAlign	a	45.878900
137	45.878900	TokensAlign	turkish	46.378900
138	46.378900	TokensAlign	astronomer	46.987000
139	46.987000	TokensAlign	#	47.780200
140	47.780200	TokensAlign	he	47.845200
141	47.845200	TokensAlign	had	48.075200
142	48.075200	TokensAlign	then	48.405200
143	48.405200	TokensAlign	given	48.725200
144	48.725200	TokensAlign	a	48.815200
145	48.815200	TokensAlign	big	49.155200
146	49.155200	TokensAlign	presentation	49.955200
147	49.955200	TokensAlign	on	50.065200
148	50.065200	TokensAlign	his	50.245200
149	50.245200	TokensAlign	discovery	50.904200
150	50.904200	TokensAlign	#	51.193600
151	51.193600	TokensAlign	at	51.348600
152	51.348600	TokensAlign	an	51.478600
153	51.478600	TokensAlign	international	52.198600
154	52.198600	TokensAlign	astronomy	52.718600
155	52.718600	TokensAlign	conference	53.377800
156	53.377800	TokensAlign	#	53.861600
157	53.861600	TokensAlign	but	54.146600
158	54.146600	TokensAlign	nobody	54.556600
159	54.556600	TokensAlign	had	54.666600
160	54.666600	TokensAlign	believed	55.146600
161	55.146600	TokensAlign	him	55.256600
162	55.256600	TokensAlign	because	55.546600
163	55.546600	TokensAlign	of	55.636600
164	55.636600	TokensAlign	his	55.766600
165	55.766600	TokensAlign	outfit	56.335700
166	56.335700	TokensAlign	#	56.784700
167	56.784700	TokensAlign	grownups	57.189700
168	57.189700	TokensAlign	are	57.239700
169	57.239700	TokensAlign	like	57.569700
170	57.569700	TokensAlign	that	57.899200
171	57.899200	TokensAlign	#	58.747200
172	58.747200	TokensAlign	fortunately	59.382200
173	59.382200	TokensAlign	for	59.522200
174	59.522200	TokensAlign	the	59.622200
175	59.622200	TokensAlign	reputation	60.302200
176	60.302200	TokensAlign	of	60.412200
177	60.412200	TokensAlign	asteroid	61.112200
178	61.112200	TokensAlign	b	61.372200
179	61.372200	TokensAlign	six_hundred_twelve	62.390900
180	62.390900	TokensAlign	#	62.745100
181	62.745100	TokensAlign	a	62.830100
182	62.830100	TokensAlign	turkish	63.410100
183	63.410100	TokensAlign	dictator	64.050100
184	64.050100	TokensAlign	imposed	64.600100
185	64.600100	TokensAlign	on	64.710100
186	64.710100	TokensAlign	his	64.910100
187	64.910100	TokensAlign	people	65.320100
188	65.320100	TokensAlign	on	65.470100
189	65.470100	TokensAlign	pain	65.770100
190	65.770100	TokensAlign	of	65.870100
191	65.870100	TokensAlign	death	66.570100
192	66.570100	TokensAlign	to	66.750100
193	66.750100	TokensAlign	dress	67.150100
194	67.150100	TokensAlign	themselves	67.700100
195	67.700100	TokensAlign	in	67.790100
196	67.790100	TokensAlign	the	67.910100
197	67.910100	TokensAlign	european	68.510100
198	68.510100	TokensAlign	fashion	69.057400
199	69.057400	TokensAlign	#	69.900400
200	69.900400	TokensAlign	the	70.015400
201	70.015400	TokensAlign	astronomer	70.585400
202	70.585400	TokensAlign	gave	70.875400
203	70.875400	TokensAlign	his	71.035400
204	71.035400	TokensAlign	presentation	71.725400
205	71.725400	TokensAlign	again	72.025400
206	72.025400	TokensAlign	in	72.145400
207	72.145400	TokensAlign	one_thousand_nine_hundred_twenty	73.165400
208	73.165400	TokensAlign	dressed	73.605400
209	73.605400	TokensAlign	very	73.985400
210	73.985400	TokensAlign	stylishly	74.759100
211	74.759100	TokensAlign	#	75.188000
212	75.188000	TokensAlign	and	75.353000
213	75.353000	TokensAlign	this	75.583000
214	75.583000	TokensAlign	time	75.932900
215	75.932900	TokensAlign	#	76.242100
216	76.242100	TokensAlign	everybody	76.827100
217	76.827100	TokensAlign	believed	77.067100
218	77.067100	TokensAlign	him	77.306900
