��line,tmin,tier,text,tmax
2,0.4311,TokensAlign,the,0.5061
3,0.5061,TokensAlign,fourth,0.8761
4,0.8761,TokensAlign,planet,1.2661
5,1.2661,TokensAlign,belonged,1.6461
6,1.6461,TokensAlign,to,1.7561
7,1.7561,TokensAlign,a,1.7861
8,1.7861,TokensAlign,businessman,2.4806
10,3.0342,TokensAlign,this,3.5292
11,3.5292,TokensAlign,man,3.7592
12,3.7592,TokensAlign,was,3.9092
13,3.9092,TokensAlign,so,4.2392
14,4.2392,TokensAlign,busy,4.7092
15,4.7092,TokensAlign,that,4.8492
16,4.8492,TokensAlign,he,4.9292
17,4.9292,TokensAlign,didn,5.2092
18,5.2092,TokensAlign,t,5.2692
19,5.2692,TokensAlign,even,5.5092
20,5.5092,TokensAlign,raise,5.8992
21,5.8992,TokensAlign,his,6.1792
22,6.1792,TokensAlign,head,6.5792
23,6.5792,TokensAlign,when,6.7692
24,6.7692,TokensAlign,the,6.8992
25,6.8992,TokensAlign,little,7.1392
26,7.1392,TokensAlign,prince,7.5492
27,7.5492,TokensAlign,arrived,8.0781
29,8.8362,TokensAlign,good,8.9612
30,8.9612,TokensAlign,morning,9.4462
32,9.7954,TokensAlign,the,9.8604
33,9.8604,TokensAlign,little,10.0704
34,10.0704,TokensAlign,prince,10.4404
35,10.4404,TokensAlign,said,10.6604
36,10.6604,TokensAlign,to,10.7804
37,10.7804,TokensAlign,him,11.0301
39,11.7833,TokensAlign,your,11.9083
40,11.9083,TokensAlign,cigarette,12.3683
41,12.3683,TokensAlign,has,12.5483
42,12.5483,TokensAlign,gone,12.7183
43,12.7183,TokensAlign,out,13.0779
45,14.2303,TokensAlign,three,14.6053
46,14.6053,TokensAlign,and,14.8753
47,14.8753,TokensAlign,two,15.1753
48,15.1753,TokensAlign,make,15.5453
49,15.5453,TokensAlign,five,16.2453
50,16.2453,TokensAlign,five,16.5253
51,16.5253,TokensAlign,five,16.7853
52,16.7853,TokensAlign,and,16.9053
53,16.9053,TokensAlign,seven,17.1353
54,17.1353,TokensAlign,make,17.3253
55,17.3253,TokensAlign,twelve,17.9641
57,18.3582,TokensAlign,twelve,18.6932
58,18.6932,TokensAlign,and,18.8732
59,18.8732,TokensAlign,three,19.1032
60,19.1032,TokensAlign,make,19.4132
61,19.4132,TokensAlign,fifteen,20.0128
63,20.5715,TokensAlign,good,20.6665
64,20.6665,TokensAlign,morning,20.9664
66,21.4104,TokensAlign,fifteen,21.9754
67,21.9754,TokensAlign,and,22.2054
68,22.2054,TokensAlign,seven,22.5854
69,22.5854,TokensAlign,make,22.8354
70,22.8354,TokensAlign,twenty,23.1354
71,23.1354,TokensAlign,two,23.4854
72,23.4854,TokensAlign,twenty,23.7754
73,23.7754,TokensAlign,twenty,24.0554
74,24.0554,TokensAlign,two,24.1754
75,24.1754,TokensAlign,and,24.2954
76,24.2954,TokensAlign,six,24.5354
77,24.5354,TokensAlign,make,24.7254
78,24.7254,TokensAlign,twenty,25.1754
79,25.1754,TokensAlign,eight,25.4644
81,25.9483,TokensAlign,no,26.0633
82,26.0633,TokensAlign,time,26.2633
83,26.2633,TokensAlign,to,26.3533
84,26.3533,TokensAlign,light,26.5433
85,26.5433,TokensAlign,it,26.6033
86,26.6033,TokensAlign,again,26.9183
88,27.2724,TokensAlign,twenty,27.5574
89,27.5574,TokensAlign,six,27.9674
90,27.9674,TokensAlign,and,28.1274
91,28.1274,TokensAlign,five,28.5474
92,28.5474,TokensAlign,make,28.8574
93,28.8574,TokensAlign,thirty,29.1874
94,29.1874,TokensAlign,one,29.4574
95,29.4574,TokensAlign,phew,29.6174
96,29.6174,TokensAlign,phew,30.2671
98,31.0603,TokensAlign,then,31.2853
99,31.2853,TokensAlign,that,31.5553
100,31.5553,TokensAlign,makes,32.2253
101,32.2253,TokensAlign,five,32.7053
102,32.7053,TokensAlign,hundred,33.2153
103,33.2153,TokensAlign,and,33.3053
104,33.3053,TokensAlign,one,33.5853
105,33.5853,TokensAlign,million,34.2353
106,34.2353,TokensAlign,six,34.8553
107,34.8553,TokensAlign,hundred,35.2653
108,35.2653,TokensAlign,twenty,35.6153
109,35.6153,TokensAlign,two,35.7653
110,35.7653,TokensAlign,thousand,36.4753
111,36.4753,TokensAlign,seven,36.8753
112,36.8753,TokensAlign,hundred,37.2253
113,37.2253,TokensAlign,thirty,37.5253
114,37.5253,TokensAlign,one,37.8091
116,39.1809,TokensAlign,five,39.4059
117,39.4059,TokensAlign,hundred,39.7059
118,39.7059,TokensAlign,million,40.0559
119,40.0559,TokensAlign,what,40.3906
121,42.2069,TokensAlign,are,42.2719
122,42.2719,TokensAlign,you,42.3819
123,42.3819,TokensAlign,still,42.6219
124,42.6219,TokensAlign,there,42.9219
126,43.7649,TokensAlign,five,43.9999
127,43.9999,TokensAlign,hundred,44.2699
128,44.2699,TokensAlign,and,44.4099
129,44.4099,TokensAlign,one,44.5999
130,44.5999,TokensAlign,million,45.0299
131,45.0299,TokensAlign,i,45.0599
132,45.0599,TokensAlign,i,45.0899
133,45.0899,TokensAlign,ve,45.2599
134,45.2599,TokensAlign,forgotten,46.0899
135,46.0899,TokensAlign,now,46.3744
137,46.7235,TokensAlign,i,46.7585
138,46.7585,TokensAlign,have,46.8485
139,46.8485,TokensAlign,so,47.0385
140,47.0385,TokensAlign,much,47.2585
141,47.2585,TokensAlign,work,47.5933
143,48.0622,TokensAlign,i,48.1172
144,48.1172,TokensAlign,am,48.1872
145,48.1872,TokensAlign,a,48.2272
146,48.2272,TokensAlign,man,48.4272
147,48.4272,TokensAlign,of,48.4972
148,48.4972,TokensAlign,consequence,49.1819
150,49.4213,TokensAlign,i,49.4763
151,49.4763,TokensAlign,don,49.6663
152,49.6663,TokensAlign,t,49.7063
153,49.7063,TokensAlign,amuse,49.9863
154,49.9863,TokensAlign,myself,50.3663
155,50.3663,TokensAlign,with,50.5363
156,50.5363,TokensAlign,balderdash,51.1759
158,52.0289,TokensAlign,two,52.1139
159,52.1139,TokensAlign,and,52.2539
160,52.2539,TokensAlign,five,52.5039
161,52.5039,TokensAlign,make,52.7839
162,52.7839,TokensAlign,seven,53.6786
164,53.898,TokensAlign,five,54.133
165,54.133,TokensAlign,hundred,54.393
166,54.393,TokensAlign,and,54.533
167,54.533,TokensAlign,one,54.703
168,54.703,TokensAlign,million,55.133
169,55.133,TokensAlign,what,55.4278
171,55.7221,TokensAlign,repeated,56.1271
172,56.1271,TokensAlign,the,56.2271
173,56.2271,TokensAlign,little,56.4471
174,56.4471,TokensAlign,prince,57.1971
175,57.1971,TokensAlign,who,57.3371
176,57.3371,TokensAlign,had,57.5771
177,57.5771,TokensAlign,never,57.9171
178,57.9171,TokensAlign,in,57.9871
179,57.9871,TokensAlign,his,58.1771
180,58.1771,TokensAlign,life,58.5871
181,58.5871,TokensAlign,let,58.7871
182,58.7871,TokensAlign,go,58.9871
183,58.9871,TokensAlign,of,59.0871
184,59.0871,TokensAlign,a,59.1371
185,59.1371,TokensAlign,question,59.7071
186,59.7071,TokensAlign,once,59.9071
187,59.9071,TokensAlign,he,60.0271
188,60.0271,TokensAlign,had,60.1171
189,60.1171,TokensAlign,asked,60.3671
190,60.3671,TokensAlign,it,60.5597
192,61.273,TokensAlign,the,61.348
193,61.348,TokensAlign,businessman,61.898
194,61.898,TokensAlign,raised,62.188
195,62.188,TokensAlign,his,62.368
196,62.368,TokensAlign,head,62.6377
198,63.7002,TokensAlign,during,63.9252
199,63.9252,TokensAlign,the,63.9852
200,63.9852,TokensAlign,fifty,64.2852
201,64.2852,TokensAlign,four,64.5252
202,64.5252,TokensAlign,years,64.7952
203,64.7952,TokensAlign,that,64.9752
204,64.9752,TokensAlign,i,65.0252
205,65.0252,TokensAlign,ve,65.1252
206,65.1252,TokensAlign,lived,65.3252
207,65.3252,TokensAlign,on,65.4352
208,65.4352,TokensAlign,this,65.6052
209,65.6052,TokensAlign,planet,66.1052
210,66.1052,TokensAlign,i,66.1852
211,66.1852,TokensAlign,ve,66.2452
212,66.2452,TokensAlign,only,66.7652
213,66.7652,TokensAlign,been,66.9952
214,66.9952,TokensAlign,disturbed,67.5052
215,67.5052,TokensAlign,three,67.7452
216,67.7452,TokensAlign,times,68.2392
218,68.8927,TokensAlign,the,69.0577
219,69.0577,TokensAlign,first,69.2277
220,69.2277,TokensAlign,time,69.4377
221,69.4377,TokensAlign,was,69.6077
222,69.6077,TokensAlign,twenty,69.8677
223,69.8677,TokensAlign,two,70.0077
224,70.0077,TokensAlign,years,70.3077
225,70.3077,TokensAlign,ago,70.5777
226,70.5777,TokensAlign,by,70.7677
227,70.7677,TokensAlign,some,71.1177
228,71.1177,TokensAlign,scatterbrain,72.0677
229,72.0677,TokensAlign,who,72.1877
230,72.1877,TokensAlign,fell,72.4777
231,72.4777,TokensAlign,from,72.7077
232,72.7077,TokensAlign,god,72.9777
233,72.9777,TokensAlign,knows,73.3077
234,73.3077,TokensAlign,where,73.5667
236,74.0356,TokensAlign,he,74.1006
237,74.1006,TokensAlign,made,74.2806
238,74.2806,TokensAlign,the,74.3906
239,74.3906,TokensAlign,most,74.5906
240,74.5906,TokensAlign,dreadful,75.0006
241,75.0006,TokensAlign,noise,75.4855
243,75.8795,TokensAlign,and,76.0045
244,76.0045,TokensAlign,i,76.1245
245,76.1245,TokensAlign,made,76.3645
246,76.3645,TokensAlign,four,76.6445
247,76.6445,TokensAlign,mistakes,77.2145
248,77.2145,TokensAlign,in,77.2845
249,77.2845,TokensAlign,a,77.3345
250,77.3345,TokensAlign,sum,77.6743
252,78.3826,TokensAlign,the,78.4476
253,78.4476,TokensAlign,second,78.6976
254,78.6976,TokensAlign,time,78.8976
255,78.8976,TokensAlign,was,79.0276
256,79.0276,TokensAlign,eleven,79.3376
257,79.3376,TokensAlign,years,79.5576
258,79.5576,TokensAlign,ago,79.8376
259,79.8376,TokensAlign,by,80.0076
260,80.0076,TokensAlign,an,80.0776
261,80.0776,TokensAlign,attack,80.4376
262,80.4376,TokensAlign,of,80.5376
263,80.5376,TokensAlign,rheumatism,81.1822
265,81.6112,TokensAlign,i,81.6862
266,81.6862,TokensAlign,don,81.8662
267,81.8662,TokensAlign,t,81.8962
268,81.8962,TokensAlign,get,82.0262
269,82.0262,TokensAlign,enough,82.2462
270,82.2462,TokensAlign,exercise,82.901
272,83.1154,TokensAlign,i,83.2004
273,83.2004,TokensAlign,don,83.3704
274,83.3704,TokensAlign,t,83.4104
275,83.4104,TokensAlign,have,83.5204
276,83.5204,TokensAlign,time,83.9004
277,83.9004,TokensAlign,to,83.9804
278,83.9804,TokensAlign,stroll,84.3004
279,84.3004,TokensAlign,about,84.7
281,85.0641,TokensAlign,i,85.1591
