line,tmin,tier,text,tmax
2,0.0153,TokensAlign,good,0.1303
3,0.1303,TokensAlign,morning,0.5752
5,0.9144,TokensAlign,said,1.0894
6,1.0894,TokensAlign,the,1.1694
7,1.1694,TokensAlign,little,1.4194
8,1.4194,TokensAlign,prince,1.8741
10,2.5924,TokensAlign,good,2.7574
11,2.7574,TokensAlign,morning,3.2023
13,3.4168,TokensAlign,said,3.6018
14,3.6018,TokensAlign,the,3.7118
15,3.7118,TokensAlign,merchant,4.2115
17,4.9547,TokensAlign,this,5.2197
18,5.2197,TokensAlign,was,5.3797
19,5.3797,TokensAlign,a,5.4297
20,5.4297,TokensAlign,merchant,5.9397
21,5.9397,TokensAlign,who,6.0397
22,6.0397,TokensAlign,sold,6.4797
23,6.4797,TokensAlign,pills,6.9597
24,6.9597,TokensAlign,that,7.0897
25,7.0897,TokensAlign,had,7.2197
26,7.2197,TokensAlign,been,7.3697
27,7.3697,TokensAlign,created,7.9797
28,7.9797,TokensAlign,to,8.1197
29,8.1197,TokensAlign,quench,8.6097
30,8.6097,TokensAlign,thirst,9.1583
32,9.5623,TokensAlign,you,9.6673
33,9.6673,TokensAlign,could,9.8273
34,9.8273,TokensAlign,take,10.1673
35,10.1673,TokensAlign,one,10.4173
36,10.4173,TokensAlign,pill,10.6573
37,10.6573,TokensAlign,a,10.7273
38,10.7273,TokensAlign,week,11.5073
39,11.5073,TokensAlign,and,11.5973
40,11.5973,TokensAlign,you,11.7173
41,11.7173,TokensAlign,no,11.8673
42,11.8673,TokensAlign,longer,12.2073
43,12.2073,TokensAlign,felt,12.5073
44,12.5073,TokensAlign,the,12.5773
45,12.5773,TokensAlign,need,12.8873
46,12.8873,TokensAlign,to,12.9773
47,12.9773,TokensAlign,drink,13.2573
48,13.2573,TokensAlign,anything,13.7006
50,14.5536,TokensAlign,why,14.7086
51,14.7086,TokensAlign,are,14.7486
52,14.7486,TokensAlign,you,15.0086
53,15.0086,TokensAlign,selling,15.3886
54,15.3886,TokensAlign,those,15.9286
56,16.2527,TokensAlign,asked,16.5377
57,16.5377,TokensAlign,the,16.6377
58,16.6377,TokensAlign,little,16.8477
59,16.8477,TokensAlign,prince,17.3226
61,17.8264,TokensAlign,it,17.9914
62,17.9914,TokensAlign,s,18.0314
63,18.0314,TokensAlign,a,18.0914
64,18.0914,TokensAlign,big,18.2814
65,18.2814,TokensAlign,time,18.5814
66,18.5814,TokensAlign,saver,18.9812
68,19.2555,TokensAlign,said,19.4505
69,19.4505,TokensAlign,the,19.5405
70,19.5405,TokensAlign,merchant,20.3905
71,20.3905,TokensAlign,experts,20.9505
72,20.9505,TokensAlign,have,21.0605
73,21.0605,TokensAlign,done,21.3005
74,21.3005,TokensAlign,calculations,22.2388
76,22.563,TokensAlign,you,22.718
77,22.718,TokensAlign,save,23.028
78,23.028,TokensAlign,fifty,23.418
79,23.418,TokensAlign,three,23.638
80,23.638,TokensAlign,minutes,24.058
81,24.058,TokensAlign,per,24.218
82,24.218,TokensAlign,week,24.5421
84,25.5149,TokensAlign,and,25.7099
85,25.7099,TokensAlign,what,25.8999
86,25.8999,TokensAlign,do,25.9899
87,25.9899,TokensAlign,i,26.1599
88,26.1599,TokensAlign,do,26.3599
89,26.3599,TokensAlign,with,26.5699
90,26.5699,TokensAlign,the,26.6599
91,26.6599,TokensAlign,fifty,26.9999
92,26.9999,TokensAlign,three,27.2599
93,27.2599,TokensAlign,minutes,27.7439
95,28.4024,TokensAlign,you,28.5374
96,28.5374,TokensAlign,can,28.6674
97,28.6674,TokensAlign,do,28.7874
98,28.7874,TokensAlign,anything,29.1274
99,29.1274,TokensAlign,you,29.2174
100,29.2174,TokensAlign,like,29.4774
101,29.4774,TokensAlign,with,29.5974
102,29.5974,TokensAlign,them,29.7619
104,30.9043,TokensAlign,myself,31.6892
106,31.9286,TokensAlign,the,32.0036
107,32.0036,TokensAlign,little,32.2336
108,32.2336,TokensAlign,prince,32.5736
109,32.5736,TokensAlign,said,32.7836
110,32.7836,TokensAlign,to,32.8936
111,32.8936,TokensAlign,himself,33.4181
113,33.9169,TokensAlign,if,34.0719
114,34.0719,TokensAlign,i,34.2819
115,34.2819,TokensAlign,had,34.5319
116,34.5319,TokensAlign,fifty,34.9119
117,34.9119,TokensAlign,three,35.1619
118,35.1619,TokensAlign,minutes,35.5619
119,35.5619,TokensAlign,to,35.6419
120,35.6419,TokensAlign,spend,35.9919
121,35.9919,TokensAlign,as,36.1119
122,36.1119,TokensAlign,i,36.2819
123,36.2819,TokensAlign,liked,36.6913
125,37.2201,TokensAlign,i,37.3951
126,37.3951,TokensAlign,d,37.4651
127,37.4651,TokensAlign,walk,37.7851
128,37.7851,TokensAlign,very,38.1351
129,38.1351,TokensAlign,slowly,38.6651
130,38.6651,TokensAlign,toward,38.9251
131,38.9251,TokensAlign,a,38.9551
132,38.9551,TokensAlign,spring,39.3051
133,39.3051,TokensAlign,of,39.4351
134,39.4351,TokensAlign,fresh,39.8051
135,39.8051,TokensAlign,water,40.2394
138,41.3944,TokensAlign,we,41.5494
139,41.5494,TokensAlign,were,41.7294
140,41.7294,TokensAlign,at,41.9594
141,41.9594,TokensAlign,the,42.1194
142,42.1194,TokensAlign,eighth,42.5094
143,42.5094,TokensAlign,day,42.7694
144,42.7694,TokensAlign,since,43.0994
145,43.0994,TokensAlign,my,43.2394
146,43.2394,TokensAlign,accident,43.8394
147,43.8394,TokensAlign,in,43.9194
148,43.9194,TokensAlign,the,44.0194
149,44.0194,TokensAlign,desert,44.5582
151,44.8176,TokensAlign,and,44.9926
152,44.9926,TokensAlign,i,45.1026
153,45.1026,TokensAlign,d,45.1926
154,45.1926,TokensAlign,listened,45.6026
155,45.6026,TokensAlign,to,45.7126
156,45.7126,TokensAlign,the,45.7726
157,45.7726,TokensAlign,story,46.2326
158,46.2326,TokensAlign,of,46.3426
159,46.3426,TokensAlign,the,46.4126
160,46.4126,TokensAlign,merchant,47.0526
161,47.0526,TokensAlign,as,47.1826
162,47.1826,TokensAlign,i,47.2826
163,47.2826,TokensAlign,drank,47.6726
164,47.6726,TokensAlign,the,47.7826
165,47.7826,TokensAlign,last,48.1626
166,48.1626,TokensAlign,drop,48.3726
167,48.3726,TokensAlign,of,48.4826
168,48.4826,TokensAlign,my,48.6326
169,48.6326,TokensAlign,water,48.9326
170,48.9326,TokensAlign,supply,49.4111
173,50.7583,TokensAlign,ah,51.4133
174,51.4133,TokensAlign,i,51.5733
175,51.5733,TokensAlign,said,51.8233
176,51.8233,TokensAlign,to,51.9433
177,51.9433,TokensAlign,the,52.0433
178,52.0433,TokensAlign,little,52.2833
179,52.2833,TokensAlign,prince,52.7679
181,53.4413,TokensAlign,these,53.6263
182,53.6263,TokensAlign,memories,54.0863
183,54.0863,TokensAlign,of,54.1663
184,54.1663,TokensAlign,yours,54.5163
185,54.5163,TokensAlign,are,54.5463
186,54.5463,TokensAlign,very,54.8663
187,54.8663,TokensAlign,charming,55.3911
189,55.7951,TokensAlign,but,55.9201
190,55.9201,TokensAlign,i,56.0601
191,56.0601,TokensAlign,haven,56.3501
192,56.3501,TokensAlign,t,56.3801
193,56.3801,TokensAlign,managed,56.7801
194,56.7801,TokensAlign,to,56.8801
195,56.8801,TokensAlign,repair,57.2001
196,57.2001,TokensAlign,my,57.3801
197,57.3801,TokensAlign,plane,57.7301
